id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
191,20,IRQ,38,38,catch,,,919,5,2672.0
192,20,IRQ,11,11,critical,,,920,4,7021.0
193,20,IRQ,3,3,critical,,,921,1,3897.0
194,20,IRQ,25,25,critical,,,922,2,3661.0
195,20,IRQ,7,7,critical,,,923,3,3062.0
196,20,IRQ,12,12,critical,,,924,5,3591.0
197,20,IRQ,2,2,critical,,,925,3,6468.0
198,20,IRQ,23,23,critical,,,926,3,3665.0
199,20,IRQ,5,5,critical,,,927,2,3350.0
200,20,IRQ,37,37,catch,,,928,1,4320.0
201,20,IRQ,26,26,critical,,,929,1,79723.0
202,20,IRQ,14,14,critical,,,930,5,4515.0
203,20,IRQ,17,17,critical,,,931,5,3661.0
204,20,IRQ,24,24,critical,,,932,2,3799.0
205,20,IRQ,8,8,critical,,,933,2,4556.0
206,20,IRQ,21,21,critical,,,934,5,3140.0
207,20,IRQ,31,31,critical,,,935,5,3127.0
208,20,IRQ,30,30,critical,,,936,5,7914.0
209,20,IRQ,20,20,critical,,,937,5,3235.0
210,20,IRQ,27,27,critical,,,938,4,2990.0
211,22,IRQ,1,1,critical,,,906,3,7971.0
212,22,IRQ,30,30,critical,,,907,2,12920.0
213,22,IRQ,11,11,critical,,,908,4,3555.0
214,22,IRQ,36,36,critical,,,909,4,5021.0
215,22,IRQ,21,21,critical,,,910,4,3547.0
216,22,IRQ,14,14,critical,,,911,4,2776.0
217,22,IRQ,16,16,critical,,,912,4,3621.0
218,22,IRQ,18,18,critical,,,913,4,5537.0
219,22,IRQ,5,5,critical,,,914,5,4162.0
220,22,IRQ,23,23,critical,,,915,2,3122.0
221,22,IRQ,12,12,critical,,,916,4,3269.0
222,22,IRQ,13,13,critical,,,917,5,3020.0
223,22,IRQ,17,17,critical,,,918,4,3225.0
224,22,IRQ,10,10,critical,,,919,4,7290.0
225,22,IRQ,28,28,critical,,,920,4,3396.0
226,22,IRQ,22,22,critical,,,921,4,6801.0
227,22,IRQ,35,35,critical,,,922,2,4662.0
228,22,IRQ,24,24,critical,,,923,1,3879.0
229,22,IRQ,8,8,critical,,,924,3,5242.0
230,22,IRQ,31,31,critical,,,925,2,3286.0
231,22,IRQ,9,9,critical,,,926,2,3076.0
232,22,IRQ,15,15,critical,,,927,4,3917.0
233,22,IRQ,34,34,critical,,,928,2,3991.0
234,22,IRQ,37,37,catch,,,929,1,4712.0
235,22,IRQ,20,20,critical,,,930,2,3613.0
236,22,IRQ,26,26,critical,,,931,1,4031.0
237,22,IRQ,39,39,catch,,,932,1,3072.0
238,22,IRQ,29,29,critical,,,933,1,2792.0
239,22,IRQ,27,27,critical,,,934,2,2891.0
240,22,IRQ,33,33,critical,,,935,5,4228.0
241,22,IRQ,19,19,critical,,,936,2,3061.0
242,22,IRQ,25,25,critical,,,937,1,2996.0
243,22,IRQ,2,2,critical,,,938,3,5724.0
244,22,IRQ,3,3,critical,,,939,3,3579.0
245,22,IRQ,38,38,catch,,,940,5,3430.0
246,22,IRQ,6,6,critical,,,941,4,3142.0
247,22,IRQ,7,7,critical,,,942,3,3970.0
248,22,IRQ,32,32,critical,,,943,1,3138.0
249,22,IRQ,4,4,critical,,,944,4,3341.0
250,25,IRQ,30,30,critical,,,900,4,17035.0
251,25,IRQ,15,15,critical,,,901,4,10030.0
252,25,IRQ,31,31,critical,,,902,4,9098.0
253,25,IRQ,33,33,critical,,,903,3,5584.0
254,25,IRQ,14,14,critical,,,904,3,4750.0
255,25,IRQ,1,1,critical,,,905,2,13003.0
256,25,IRQ,34,34,critical,,,906,2,12508.0
257,25,IRQ,29,29,critical,,,907,3,5491.0
258,25,IRQ,12,12,critical,,,908,5,7989.0
259,25,IRQ,27,27,critical,,,909,2,6649.0
260,25,IRQ,26,26,critical,,,910,2,10720.0
261,25,IRQ,36,36,critical,,,911,3,9159.0
262,25,IRQ,32,32,critical,,,912,4,8900.0
263,25,IRQ,18,18,critical,,,913,4,5534.0
264,25,IRQ,37,37,catch,,,914,1,8398.0
265,25,IRQ,13,13,critical,,,915,4,6887.0
